Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1719211901997,418.2279,1,post2,Is_Fake,not_fake
1719211902933,419.1634,1,post2,Level_Of_Confident,4
1719211903400,419.6304,1,post2,Level_Of_Confident,2
1719211904043,420.2727,1,post2,Level_Of_Confident,go_to_have_seen
1719211904680,420.9105,1,post2,Have_seen,no
1719211915457,431.6882,2,post6,Is_Fake,fake
1719211916107,432.3376,2,post6,Level_Of_Confident,4
1719211916696,432.926,2,post6,Level_Of_Confident,go_to_have_seen
1719211917800,434.03,2,post6,Have_seen,yes
1719211926995,443.2257,3,post29,Is_Fake,not_fake
1719211928402,444.6324,3,post29,Level_Of_Confident,4
1719211928672,444.9021,3,post29,Level_Of_Confident,go_to_have_seen
1719211929331,445.5622,3,post29,Have_seen,no
