Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710162806859,32.78562,001,2.883873,กาญจนบุรี,False
1710162820911,46.86911,question_108,2.518581,bag1,False
1710162832191,55.33017,chat-01,5.337307,go to ID : web-1,False
1710162838222,65.67007,web-1,0.9853439,ออกจากเว็บ,False
1710162853000,74.45049,chat-01,7.025955,go to ID : group-1,False
1710162854231,81.47645,Group-1,1.233398,กดเพื่อโพสต์,False
1710162855935,82.70985,Group-1,1.702637,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1710162876454,102.7609,oldchat,2.171745,เล่นแชทแฟน,False
1710162886077,107.1184,001,7.436455,ถามหา กระเป๋าที่จะ ซื้อเป็น ของขวัญ ให้แม่,False
1710162940866,119.3742,001,49.9677,bag1,False
1710162970159,0,group-2,198.6375,ดูเพจร้านที่1,False
1710162977779,203.64,group-2,2.382004,แชทกับร้านที่1,False
1710162983944,206.2868,001,6.13324,bag1,False
1710163003861,231.4515,group-2,0.8893738,ดูเพจร้านที่2,False
1710163009788,237.3409,group-2,0.7202911,แชทกับร้านที่2,False
1710163011082,238.2823,001,1.275436,bag1,False
1710163021219,247.4331,chat-03,2.265884,เปิดแชททั้งหมด,False
1710163022936,249.699,chat-04,1.715714,เปิดแชทchat-04,False
1710163062787,288.8054,bank-1,2.460968,เปิดธนาคาร,False
1710163069983,294.2666,bank-1,4.194244,กดโอนเงิน,False
1710163080056,301.4617,bank-1,6.974976,ไม่โอนเงิน,True
1710163101602,328.3901,chat-04,1.689392,เปิดแชททั้งหมด,False
1710163102703,330.0795,chat-02,1.102478,เปิดแชทchat-02,False
1710163109974,337.2677,chat-02,1.185577,เปิดแชททั้งหมด,False
1710163110822,338.4533,chat-03,0.8480225,เปิดแชทchat-03,False
1710163126472,348.4839,select-bag2,6.432373,Select ForyouBag,True
1710163132618,356.9724,001,4.120361,ขอดูสินค้า,False
1710163173506,400.6919,bank-3,1.291565,เปิดธนาคาร,False
1710163217635,404.9886,bank-3,40.54376,กลับแชท,False
1710163219952,445.5324,001,2.611359,prawnthai6-2,False
1710163238048,458.6404,chat-03,7.601959,เปิดแชททั้งหมด,False
1710163238980,466.2424,chat-01,0.9326782,เปิดแชทchat-01,False
1710163257631,482.0303,chat-01,3.791779,go to ID : group-44,False
1710163260951,0,group-3,488.9354,แชทกับร้านปลอม,False
1710163270917,492.0232,001,7.08252,bag9,False
1710163283591,501.592,001,10.19138,ดูโพสต์อีกครั้ง,False
1710163290515,516.784,group-fake2,1.92572,กลับแชท,False
1710163295871,520.7132,001,3.349976,ไม่ซื้อสินค้า,True
1710163319874,533.4505,chat-05,14.61865,เปิดแชททั้งหมด,False
1710163359541,548.0692,chat-03,39.66602,เปิดแชทchat-03,False
1710163369387,596.3378,chat-03,1.24469,เปิดแชททั้งหมด,False
1710163370847,597.5825,chat-01,1.458557,เปิดแชทchat-01,False
1710163376127,601.2796,001,3.039612,ร้านนี้ไม่โกง แน่นอน ร้านชื่อ ForyouBAG ,False
