Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710434139727,27.37433,001,11.7366,เกาะล้าน,False
1710434326598,50.56917,question_108,175.2868,bag1,False
1710434333564,231.8772,chat-01,0.9459991,go to ID : web-1,False
1710434339646,237.8277,web-1,1.068634,ออกจากเว็บ,False
1710434349742,246.7178,chat-01,2.282883,go to ID : group-1,False
1710434350657,249.0007,Group-1,0.916748,กดเพื่อโพสต์,False
1710434351869,249.9174,Group-1,1.211853,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1710434437460,267.8019,oldchat,68.918,เล่นแชทแฟน,False
1710434441925,338.8657,001,2.318359,ถามหา กระเป๋าที่จะ ซื้อเป็น ของขวัญ ให้แม่,False
1710434448828,345.9906,001,2.09671,bag1,False
1710434471737,0,group-2,370.9974,ดูเพจร้านที่1,False
1710434494714,376.0011,group-2,17.84799,แชทกับร้านที่1,False
1710434495567,394.0132,001,0.8131409,bag1,False
1710434540988,0,group-2,440.2487,ดูเพจร้านที่2,False
1710434547770,445.2511,group-2,1.67923,แชทกับร้านที่2,False
1710434548922,447.0472,001,1.133514,bag1,False
1710434563538,456.1387,chat-03,6.660522,เปิดแชททั้งหมด,False
1710434564903,462.7992,chat-04,1.364624,เปิดแชทchat-04,False
1710434613825,511.3065,bank-1,1.774963,เปิดธนาคาร,False
1710434618509,516.0835,bank-1,1.685181,กดโอนเงิน,False
1710434623055,520.771,bank-1,1.478271,ไม่โอนเงิน,True
1710434647534,542.5381,chat-04,4.256409,เปิดแชททั้งหมด,False
1710434648844,546.7945,chat-02,1.309753,เปิดแชทchat-02,False
1710434656302,554.2001,chat-02,1.363403,เปิดแชททั้งหมด,False
1710434657669,555.5635,chat-03,1.36676,เปิดแชทchat-03,False
1710434668531,566.3265,select-bag2,1.450623,Select ForyouBag,True
1710434679628,569.8204,001,9.066345,ขอดูสินค้า,False
1710434701807,599.8489,bank-3-2,1.218323,เปิดธนาคาร,False
1710434710699,604.0728,bank-3-2,5.348816,กลับแชท,False
1710434711938,609.4216,001,1.538391,prawnthai6-2,False
1710434723950,621.5239,chat-03,1.450134,เปิดแชททั้งหมด,False
1710434725192,622.9741,chat-01,1.242859,เปิดแชทchat-01,False
1710434742175,639.2238,chat-01,1.972717,go to ID : group-44-2,False
1710434743665,0,group-3,642.5363,แชทกับร้านปลอม,False
1710434749111,645.6429,001,2.489807,bag9,False
1710434754620,650.6306,001,3.01178,ขอดูสินค้า,False
1710434776824,665.7178,001,10.1286,ไม่ซื้อสินค้า,True
1710434803732,685.2886,chat-05,17.46729,เปิดแชททั้งหมด,False
1710434804892,702.7559,chat-03,1.160461,เปิดแชทchat-03,False
1710434816125,712.5289,chat-03,2.62085,เปิดแชททั้งหมด,False
1710434817313,715.1497,chat-01,1.187866,เปิดแชทchat-01,False
1710435040671,718.6433,001,220.8804,ForyouBAG ร้านนี้ดีหมด เลย พูดจาดี ส่งไว,False
1710435059998,955.9623,001,2.888977,ดูคอมเม้น แล้วในโพสมี คนกดโกรธ เยอะมาก,False
1710435081498,958.8513,chat-01,21.5022,เปิดแชททั้งหมด,False
1710435084221,980.3535,chat-04,2.722717,เปิดแชทchat-04,False
1710435113685,1002.329,chat-04,10.21063,เปิดแชททั้งหมด,False
1710435114751,1012.54,chat-01,1.065125,เปิดแชทchat-01,False
1710435293753,1049.525,chat-01,143.08,go to ID : page-2,False
1710435295086,1192.605,page-2,1.334473,ดูคอมเม้น,False
1710435296319,1193.94,page-2,1.234131,ดูคอมเม้น,False
1710435297335,1195.174,page-2,1.015503,ปิด popup ข้อมูล,False
1710435298111,1196.189,page-2,0.7756348,กดลิ้งค์จริง,True
