Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710433525080,17.07363,001,240.4832,เกาะล้าน,False
1710433556638,268.8754,question_108,19.37054,bag1,False
1710433568201,294.282,chat-01,5.52774,go to ID : web-1,False
1710433578125,304.8147,web-1,4.889679,ออกจากเว็บ,False
1710433597213,317.5349,chat-01,11.28607,go to ID : group-1,False
1710433600769,328.821,Group-1,3.557739,กดเพื่อโพสต์,False
1710433601889,332.3787,Group-1,1.085114,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1710433622550,350.6437,oldchat,3.515167,เล่นแชทแฟน,False
1710433628101,356.3166,001,3.392365,ชวนมางานวันเกิดแม่,False
1710433654380,0,group-2,385.7754,ดูเพจร้านที่1,False
1710433662114,390.7808,group-2,2.765289,แชทกับร้านที่1,False
1710433678514,393.7529,001,16.3681,bag1,False
1710433692427,0,group-2,423.9388,ดูเพจร้านที่2,False
1710433824278,428.9432,group-2,126.7626,แชทกับร้านที่2,False
1710433825946,555.9038,001,1.649902,bag1,False
1710433835681,565.5141,chat-03,1.776428,เปิดแชททั้งหมด,False
1710433838028,567.2905,chat-04,2.347046,เปิดแชทchat-04,False
1710433876636,607.2433,bank-1,1.002197,เปิดธนาคาร,False
1710433880724,611.2547,bank-1,1.078552,กดโอนเงิน,False
1710433886447,615.3347,bank-1,2.645325,ไม่โอนเงิน,True
1710433909835,638.1335,chat-04,3.311401,เปิดแชททั้งหมด,False
1710433911258,641.4449,chat-02,1.421692,เปิดแชทchat-02,False
1710433918839,648.9463,chat-02,1.501831,เปิดแชททั้งหมด,False
1710433919708,650.4481,chat-03,0.8700562,เปิดแชทchat-03,False
1710433934965,664.3563,select-bag2,2.210266,Select ForyouBag,True
1710433942362,668.6047,001,5.36554,ขอดูสินค้า,False
