Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709829614351,18.09065,001,11.35641,เขาใหญ่,False
1709829627382,40.9185,question_108,1.534901,bag1,False
1709829986346,48.67737,chat-01,352.7361,go to ID : web-1,False
1709829993671,406.4154,web-1,2.309418,ออกจากเว็บ,False
1709830002767,416.5805,chat-01,1.260345,go to ID : group-1,False
1709830004237,417.8409,Group-1,1.471649,กดเพื่อโพสต์,False
1709830005108,419.3125,Group-1,0.8699036,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709830020929,435.2114,oldchat,0.792511,เล่นแชทแฟน,False
1709830024036,438.1866,001,0.9231262,ชวนมางานวันเกิดแม่,False
1709830053215,0,group-2,467.3343,ดูเพจร้านที่1,False
1709830129023,472.3433,group-2,70.68399,แชทกับร้านที่1,False
1709830129943,543.1682,001,0.8937378,bag1,False
1709830150053,0,group-2,564.174,ดูเพจร้านที่2,False
1709830157266,569.179,group-2,2.108826,แชทกับร้านที่2,False
1709830158328,571.4056,001,1.040833,bag1,False
1709830168429,580.3754,chat-03,2.174194,เปิดแชททั้งหมด,False
1709830169525,582.5496,chat-04,1.095703,เปิดแชทchat-04,False
1709831356440,1769.447,bank-1,1.111694,เปิดธนาคาร,False
1709831360347,1773.561,bank-1,0.9052734,กดโอนเงิน,False
1709831365204,1777.473,bank-1,1.577637,โอนเงิน,True
1709831369903,1779.05,001,4.907349,prawnthai5,False
1709831388515,1791.588,chat-04,10.98413,เปิดแชททั้งหมด,False
1709831389664,1802.572,chat-02,1.14856,เปิดแชทchat-02,False
1709831399199,1809.804,chat-02,3.452515,เปิดแชททั้งหมด,False
1709831400269,1813.256,chat-03,1.069458,เปิดแชทchat-03,False
1709831816052,2225.449,select-bag,4.508789,Select BagShop,True
1709831837936,2232,001,19.85913,ดูคอมเม้นท์ ในเพจ ,False
1709831840674,2254.532,page-1-A,0.01220703,กลับแชท,False
1709831857749,2270.498,bank-2,1.175781,เปิดธนาคาร,False
1709831864053,2274.677,bank-2,2.99707,กลับแชท,False
1709831864845,2277.674,001,1.087646,prawnthai6-1,False
1709831877381,2289.307,chat-02,1.993408,เปิดแชททั้งหมด,False
1709831878220,2291.3,chat-01,0.8383789,เปิดแชทchat-01,False
1709831901015,2307.177,chat-01,7.754395,go to ID : group-4,False
1709831902335,0,group-3,2316.084,แชทกับร้านปลอม,False
1709831908849,2319.181,001,3.585449,bag9,False
1709831916753,2325.275,001,5.394287,ดูโพสต์อีกครั้ง,False
1709831923776,2335.675,group-fake,2.019531,กลับแชท,False
1709831931550,2339.702,001,5.765137,ไม่ซื้อสินค้า,True
1709831948116,2354.903,chat-05,7.131836,เปิดแชททั้งหมด,False
1709831949053,2362.035,chat-02,0.9375,เปิดแชทchat-02,False
1709831966168,2371.584,chat-02,8.503174,เปิดแชททั้งหมด,False
1709831967300,2380.087,chat-01,1.131104,เปิดแชทchat-01,False
1709831984803,2383.511,001,15.20703,ร้านนี้ไม่โกง แน่นอน ร้านชื่อ BAGSHOP ,False
1709832041111,2415.192,001,39.83716,ดูคอมเม้น แล้วในโพสมี คนกดโกรธ เยอะมาก,False
1709832110879,2480.511,chat-04,44.15503,เปิดแชททั้งหมด,False
1709832111682,2524.666,chat-01,0.8034668,เปิดแชทchat-01,False
