Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709732754817,22.0357,001,15.21558,เขาใหญ่,False
1709732783591,48.57055,question_108,5.676033,bag1,False
1709732798415,60.16129,chat-01,8.909393,go to ID : web-1,False
1709732809119,74.07246,web-1,5.678993,ออกจากเว็บ,False
1709732819993,87.5276,chat-01,3.120979,go to ID : group-1,False
1709732832801,90.64857,Group-1,12.81023,กดเพื่อโพสต์,False
1709732833642,103.4588,Group-1,0.8404236,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709732851816,118.1316,oldchat,4.341545,เล่นแชทแฟน,False
1709732903506,124.629,001,49.53249,ชวนมางานวันเกิดแม่,False
1709732935943,0,group-2,206.6001,ดูเพจร้านที่1,False
1709732943112,211.6019,group-2,2.034286,แชทกับร้านที่1,False
1709732945825,213.7992,001,2.680069,bag1,False
1709732965186,0,group-2,235.8429,ดูเพจร้านที่2,False
1709732973659,240.8451,group-2,3.278915,แชทกับร้านที่2,False
1709732974827,244.3341,001,1.148407,bag1,False
1709732985704,253.3515,chat-03,3.010849,เปิดแชททั้งหมด,False
1709732986572,256.3623,chat-04,0.867218,เปิดแชทchat-04,False
1709733024346,293.7311,bank-1,1.271393,เปิดธนาคาร,False
1709733028482,298.0042,bank-1,1.134216,กดโอนเงิน,False
1709733120559,302.1386,bank-1,58.22638,โอนเงิน,True
1709733122381,360.365,001,1.982697,prawnthai5,False
1709733135561,370.1208,chat-04,5.093445,เปิดแชททั้งหมด,False
1709733136385,375.2142,chat-02,0.8228455,เปิดแชทchat-02,False
1709733144501,382.1749,chat-02,1.979309,เปิดแชททั้งหมด,False
1709733147329,384.1542,chat-03,2.828247,เปิดแชทchat-03,False
1709733173924,400.6846,select-bag,12.88049,Select ForyouBag,True
1709733181382,415.5963,001,5.435394,ขอดูสินค้า,False
1709733206341,444.3451,bank-3,1.648285,เปิดธนาคาร,False
1709733226059,448.9971,bank-3,16.36838,กลับแชท,False
1709733228360,465.3655,001,2.593811,prawnthai6-2,False
1709733242591,478.4581,chat-03,3.73587,เปิดแชททั้งหมด,False
1709733243814,482.1939,chat-01,1.222992,เปิดแชทchat-01,False
1709733262074,498.2578,chat-01,3.417389,go to ID : group-44,False
1709733263324,0,group-3,502.7986,แชทกับร้านปลอม,False
1709733270483,505.7726,001,4.310181,bag9,False
1709733282099,512.5446,001,9.15509,ขอดูสินค้า,False
1709733300203,533.7034,001,6.100952,ไม่ซื้อสินค้า,True
1709733311839,549.1559,chat-05,2.286072,เปิดแชททั้งหมด,False
1709733467511,551.442,chat-03,21.31885,เปิดแชทchat-03,False
1709733477696,581.3514,chat-03,1.594482,เปิดแชททั้งหมด,False
1709733478905,582.9459,chat-01,1.208618,เปิดแชทchat-01,False
1709733484267,586.3748,001,3.139771,ForyouBAG ร้านนี้ส่งไว มาก,False
1709733521426,605.7628,001,20.91046,ลายน้ำใน ภาพไม่ใช่ ชื่อร้าน,False
1709733753429,652.4825,chat-04,56.57605,เปิดแชททั้งหมด,False
1709733755665,709.0586,chat-01,2.236023,เปิดแชทchat-01,False
1709733805912,746.0295,chat-01,15.50922,go to ID : page-2,False
1709733807692,761.5387,page-2,1.782471,ดูคอมเม้น,False
1709733816058,763.3212,page-2,8.366211,กดลิ้งค์จริง,True
