Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709720190677,21.7335,001,4.190699,เกาะล้าน,False
1709720212209,37.28505,question_108,9.862083,bag1,False
1709720224334,53.14743,chat-01,6.125923,go to ID : web-1,False
1709720231259,64.27402,web-1,1.906822,ออกจากเว็บ,False
1709720244683,73.97703,chat-01,5.643845,go to ID : group-1,False
1709720246187,79.62087,Group-1,1.506317,กดเพื่อโพสต์,False
1709720246922,81.12719,Group-1,0.7337112,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709720278344,103.896,oldchat,9.387695,เล่นแชทแฟน,False
1709720282501,115.4511,001,1.988113,ชวนมางานวันเกิดแม่,False
1709720385253,0,group-2,220.1912,ดูเพจร้านที่1,False
1709720396223,225.1922,group-2,5.747391,แชทกับร้านที่1,False
1709720397325,231.2042,001,1.055893,bag1,False
1709720411255,0,group-2,246.1956,ดูเพจร้านที่2,False
1709720417635,251.2114,group-2,1.160934,แชทกับร้านที่2,False
1709720418623,252.5938,001,0.9661102,bag1,False
1709720429204,261.5386,chat-03,2.605011,เปิดแชททั้งหมด,False
1709720430083,264.1436,chat-04,0.8798828,เปิดแชทchat-04,False
1709720474633,302.0572,bank-1,7.515442,เปิดธนาคาร,False
1709720494051,312.5771,bank-1,16.4075,กดโอนเงิน,False
1709720500025,331.9915,bank-1,2.638275,โอนเงิน,True
1709720501182,334.6298,001,1.372375,prawnthai5,False
1709720527554,343.6979,chat-04,18.67999,เปิดแชททั้งหมด,False
1709720529544,362.3779,chat-02,1.990173,เปิดแชทchat-02,False
1709720540439,370.4732,chat-02,4.790619,เปิดแชททั้งหมด,False
1709720541567,375.2638,chat-03,1.12738,เปิดแชทchat-03,False
1709720553639,387.4945,select-bag,0.9517822,Select BagShop,True
1709720559941,390.4881,001,4.276215,ขอดูสินค้า,False
1709720584566,417.9797,bank-2,1.409668,เปิดธนาคาร,False
1709720591869,422.396,bank-2,3.99469,กลับแชท,False
1709720592880,426.3907,001,1.304749,prawnthai6-1,False
1709720607935,438.2296,chat-02,4.523682,เปิดแชททั้งหมด,False
1709720608745,442.7533,chat-01,0.8095703,เปิดแชทchat-01,False
1709720635753,458.5931,chat-01,11.97147,go to ID : group-4,False
1709720637372,0,group-3,472.0546,แชทกับร้านปลอม,False
1709720641941,475.1211,001,1.634949,bag9,False
1709720649587,479.2511,001,5.153015,ขอดูสินค้า,False
1709720667662,496.4735,001,6.00528,ซื้อสินค้า,True
1709720676928,510.648,bank-4,1.098175,เปิดธนาคาร,False
1709720683827,514.7497,bank-4,3.621155,กลับแชท,False
1709720685394,518.3708,001,1.838806,prawnthai7,False
1709721040300,526.2228,chat-05,348.8958,เปิดแชททั้งหมด,False
1709721041400,875.1185,chat-02,1.099976,เปิดแชทchat-02,False
1709721051125,884.7734,chat-02,1.169983,เปิดแชททั้งหมด,False
1709721051942,885.9434,chat-01,0.8175049,เปิดแชทchat-01,False
1709721547780,889.0237,001,493.5726,BAGSHOP ร้านนี้ส่งไว มาก,False
1709721623327,1408.144,chat-01,50.0011,เปิดแชททั้งหมด,False
1709721624261,1458.145,chat-04,0.9344482,เปิดแชทchat-04,False
1709721652564,1484.701,chat-04,2.663818,เปิดแชททั้งหมด,False
1709721653378,1487.365,chat-01,0.8146973,เปิดแชทchat-01,False
1709722426963,514.7497,bank-4,1746.546,กลับแชท,False
1709722438475,514.7497,bank-4,1758.064,กลับแชท,False
