Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710163553619,26.18785,001,14.76898,เกาะล้าน,False
1710163570692,52.15639,question_108,5.809849,bag1,False
1710163578198,63.90117,chat-01,1.572201,go to ID : web-1,False
1710163584600,70.4738,web-1,1.384605,ออกจากเว็บ,False
1710163593663,79.65375,chat-01,1.283752,go to ID : group-1,False
1710163594618,80.9375,Group-1,0.9585495,กดเพื่อโพสต์,False
1710163595222,81.89605,Group-1,0.6021652,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1710163613898,97.12919,oldchat,4.046181,เล่นแชทแฟน,False
1710163632228,103.3511,001,16.15199,ชวนมางานวันเกิดแม่,False
1710163657536,0,group-2,144.8121,ดูเพจร้านที่1,False
1710163668672,149.8139,group-2,5.995544,แชทกับร้านที่1,False
1710163673708,155.9851,001,4.998047,bag1,False
1710163687953,0,group-2,175.2312,ดูเพจร้านที่2,False
1710163693860,180.2881,group-2,0.7276459,แชทกับร้านที่2,False
1710163694999,181.1586,001,1.115372,bag1,False
1710163712577,190.1396,chat-03,9.715897,เปิดแชททั้งหมด,False
1710163717705,199.8555,chat-04,5.127365,เปิดแชทchat-04,False
1710163755707,241.7865,bank-1,1.197937,เปิดธนาคาร,False
1710163761209,245.9881,bank-1,2.496063,กดโอนเงิน,False
1710163773125,251.4855,bank-1,8.834854,ไม่โอนเงิน,True
1710163793916,280.2367,chat-04,0.9562073,เปิดแชททั้งหมด,False
1710163794723,281.1929,chat-02,0.8074951,เปิดแชทchat-02,False
1710163802153,288.0823,chat-02,1.348877,เปิดแชททั้งหมด,False
1710163803418,289.4312,chat-03,1.264587,เปิดแชทchat-03,False
1710163815290,299.7777,select-bag2,2.777344,Select ForyouBag,True
1710163820020,304.5929,001,2.703217,ขอดูสินค้า,False
1710163845806,332.0135,bank-3,1.069824,เปิดธนาคาร,False
1710163854108,336.0838,bank-3,4.83432,กลับแชท,False
1710163855346,340.9181,001,1.528992,prawnthai6-2,False
1710163873896,352.9305,chat-03,8.071411,เปิดแชททั้งหมด,False
1710163875146,361.0019,chat-01,1.249573,เปิดแชทchat-01,False
1710163895331,377.0788,chat-01,5.355347,go to ID : group-44,False
1710163910575,387.4387,group-3,10.12515,แชทกับร้านปลอม,False
1710163947166,400.5044,001,3.296509,bag9,False
1710163961037,406.2752,001,11.39761,ดูโพสต์อีกครั้ง,False
1710163972012,422.6749,group-fake2,5.974518,กลับแชท,False
1710163981933,430.6545,001,7.912567,ไม่ซื้อสินค้า,True
1710163993450,447.9372,chat-05,2.151672,เปิดแชททั้งหมด,False
1710164046499,450.0888,chat-03,53.048,เปิดแชทchat-03,False
1710164057553,511.7227,chat-03,2.469177,เปิดแชททั้งหมด,False
1710164061842,514.1918,chat-01,4.286682,เปิดแชทchat-01,False
1710164136340,520.7197,001,26.04498,ForyouBAG ร้านนี้ส่งไว มาก,False
1710164234052,563.033,chat-01,81.44501,ดูคอมเม้น แล้วในโพสมี คนกดโกรธ เยอะมาก,False
1710164242205,644.478,chat-01,8.155457,เปิดแชททั้งหมด,False
1710164247866,652.6335,chat-04,5.660522,เปิดแชทchat-04,False
1710164332971,683.3849,chat-04,37.72638,เปิดแชททั้งหมด,False
1710164334179,721.1113,chat-01,1.208252,เปิดแชทchat-01,False
1710164625492,755.9018,chat-01,68.03198,go to ID : page-2,False
1710164627513,823.9338,page-2,2.022827,ดูคอมเม้น,False
1710164662066,825.9566,page-2,34.552,กดลิ้งค์ปลอม,True
