Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709727733807,25.63444,001,1.736486,เขาใหญ่,False
1709727791706,38.73454,question_108,46.5219,bag1,False
1709727807343,91.36687,chat-01,9.528656,go to ID : web-1,False
1709727813416,105.8977,web-1,1.053444,ออกจากเว็บ,False
1709727824325,114.7589,chat-01,3.117706,go to ID : group-1,False
1709727826173,117.8766,Group-1,1.849495,กดเพื่อโพสต์,False
1709727827746,119.7261,Group-1,1.573822,มีร้านไหนขายกระเป๋ารุ่นนี้บ้างคะ ต้องการมือ1ค่ะ,False
1709727849521,141.6985,oldchat,1.372055,เล่นแชทแฟน,False
1709727860028,145.2103,001,8.369293,ชวนมางานวันเกิดแม่,False
1709727885565,0,group-2,179.1183,ดูเพจร้านที่1,False
1709727892408,184.123,group-2,1.72229,แชทกับร้านที่1,False
1709727893454,185.9933,001,1.011765,bag1,False
1709727950265,243.0142,group-2,0.8047638,ดูเพจร้านที่2,False
1709727961040,248.82,group-2,5.674103,แชทกับร้านที่2,False
1709727961966,254.6132,001,0.904068,bag1,False
1709727971719,263.46,chat-03,1.813599,เปิดแชททั้งหมด,False
1709727972597,265.2736,chat-04,0.8763428,เปิดแชทchat-04,False
1709728029844,316.0569,bank-1,7.339691,เปิดธนาคาร,False
1709728034136,326.4024,bank-1,1.285858,กดโอนเงิน,False
1709728039822,330.6978,bank-1,2.403442,โอนเงิน,True
1709728040885,333.1013,001,1.272614,prawnthai5,False
1709728050814,342.0703,chat-04,2.23526,เปิดแชททั้งหมด,False
1709728051705,344.3055,chat-02,0.8917236,เปิดแชทchat-02,False
1709728059468,351.2894,chat-02,1.670776,เปิดแชททั้งหมด,False
1709728060346,352.9601,chat-03,0.8785706,เปิดแชทchat-03,False
1709728071094,363.7416,select-bag,0.8357239,Select BagShop,True
1709728075113,366.6178,001,1.985199,ดูคอมเม้นท์ ในเพจ ,False
1709728086819,380.2927,page-1-A,0.009338379,กลับแชท,False
1709728100439,392.8586,bank-2,1.072113,เปิดธนาคาร,False
1709728106608,396.933,bank-2,2.940155,กลับแชท,False
1709728107645,399.8731,001,1.261932,prawnthai6-1,False
1709728145394,411.6997,chat-02,27.18729,เปิดแชททั้งหมด,False
1709728146186,438.887,chat-01,0.791687,เปิดแชทchat-01,False
1709728187566,454.7951,chat-01,26.2608,go to ID : group-4,False
1709728188545,0,group-3,481.9408,แชทกับร้านปลอม,False
1709728197257,485.0291,001,5.717529,bag9,False
1709728229301,493.2457,001,29.54538,ขอดูสินค้า,False
1709728254164,534.8654,001,12.78979,ซื้อสินค้า,True
1709728262623,555.2864,bank-4,0.8291626,เปิดธนาคาร,False
1709728269292,559.1208,bank-4,3.439819,กลับแชท,False
1709728270677,562.5607,001,1.606323,prawnthai7,False
1709728278411,570.1835,chat-05,1.719543,เปิดแชททั้งหมด,False
1709728279420,571.9031,chat-02,1.00946,เปิดแชทchat-02,False
1709728297164,581.4612,chat-02,9.195129,เปิดแชททั้งหมด,False
1709728298081,590.6563,chat-01,0.9177856,เปิดแชทchat-01,False
1709728302645,593.8484,001,2.286194,BAGSHOP ร้านนี้ส่งไว มาก,False
1709728332635,621.6542,chat-01,4.473267,เปิดแชททั้งหมด,False
1709728334416,626.1275,chat-04,1.780457,เปิดแชทchat-04,False
1709728364946,653.4969,chat-04,4.940979,เปิดแชททั้งหมด,False
1709728366164,658.4379,chat-01,1.217957,เปิดแชทchat-01,False
