Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1706689098459,2244.916,001,2.224609,เขาใหญ่
1706689111860,2258.448,question_108,1.80957,bag1
1706689121649,2268.167,chat-01,1.878906,go to ID : web-1
1706689128407,2275.048,web-1,1.732666,ออกจากเว็บ
1706699216502,2284.579,chat-01,10078.92,go to ID : group-1
1706699217477,12363.5,Group-1,0.9765625,กดเพื่อโพสต์
1706699218338,12364.48,Group-1,0.8603516,มีร้านไหนขายกระเป๋ารุ่นนี้บ้างคะ ต้องการมือ1ค่ะ
1706699228337,12372.5,001,2.836914,ชวนมางานวันเกิดแม่
1706699486539,12632.26,group-2,1.275391,ดูเพจร้านที่1
1706699493828,12638.54,group-2,2.136719,แชทกับร้านที่1
1706699494738,12640.85,001,0.8857422,bag1
1706699610954,0,group-2,12757.96,ดูเพจร้านที่2
1706699616932,12762.96,group-2,0.8554688,แชทกับร้านที่2
1706699617970,12763.95,001,1.023438,bag1
1706699627339,12772.8,chat-03,1.545898,เปิดแชททั้งหมด
1706699628455,12774.34,chat-04,1.115234,เปิดแชทchat-04
1706699716404,12861.67,bank-1,1.736328,เปิดธนาคาร
1706699727412,12866.41,bank-1,7.999023,กดโอนเงิน
1706699732451,12877.41,bank-1,1.964844,กลับแชท
1706699755612,12899.41,chat-04,3.202148,เปิดแชททั้งหมด
1706699756671,12902.61,chat-02,1.05957,เปิดแชทchat-02
1706699764286,12909.75,chat-02,1.537109,เปิดแชททั้งหมด
1706699765251,12911.29,chat-03,0.9648438,เปิดแชทchat-03
1706699780341,12921.82,select-bag2,5.512695,Select ForyouBag
1706699785121,12929.37,001,2.754883,ดูคอมเม้นท์ ในเพจ 
1706699791848,12938.83,page-1-B2,0.006835938,กลับแชท
1706699813705,12959.67,bank-3-2,1.03418,เปิดธนาคาร
1706699817901,12963.71,bank-3-2,1.192383,โอนเงิน
1706699822364,12963.71,bank-3-2,5.655273,ต่อไป
1706699822971,12963.71,bank-3-2,6.262695,ยืนยัน
1706699824493,12963.71,bank-3-2,7.295898,กลับแชท
1706699824494,12963.71,bank-3-2,7.295898,กลับแชท
1706699825316,12971.01,001,1.125977,prawnthai6-2
1706699837289,12982.52,chat-03,1.583008,เปิดแชททั้งหมด
1706699838324,12984.11,chat-01,1.035156,เปิดแชทchat-01
1706699854749,13000.1,chat-01,1.46875,go to ID : group-44-2
1706699856348,0,group-3,13003.12,แชทกับร้านปลอม
1706699867907,13005.97,001,8.755859,bag9
1706699890400,13017.16,001,20.05957,ดูโพสต์อีกครั้ง
1706699896623,13042.22,group-fake2-2,1.224609,กลับแชท
1706699907448,13045.45,001,8.817383,ไม่ซื้อสินค้า
1706699917655,13062.83,chat-03,1.648438,เปิดแชททั้งหมด
1706699918918,13064.47,chat-01,1.262695,เปิดแชทchat-01
1706700120544,13067.99,001,199.2539,ForyouBAG ร้านนี้ส่งไวมาก
