Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1706700573132,16.49388,001,1.609138,เขาใหญ่
1706700586237,29.40349,question_108,1.781857,bag1
1706700619096,39.11944,chat-01,24.92624,go to ID : web-1
1706700625944,69.04577,web-1,1.835449,ออกจากเว็บ
1706700647507,78.69537,chat-01,13.76137,go to ID : group-1
1706700717074,92.45673,Group-1,69.56873,กดเพื่อโพสต์
1706700718097,162.0255,Group-1,1.020691,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1706700727472,170.1637,001,2.258194,ถามหา
กระเป๋าที่จะ
ซื้อเป็น
ของขวัญ
ให้แม่
1706700779309,177.1074,001,47.14937,bag1
1706700822320,266.3242,group-2,0.9458923,ดูเพจร้านที่1
1706700828742,272.277,group-2,1.36731,แชทกับร้านที่1
1706700848352,273.7138,001,19.5874,bag1
1706700862180,0,group-2,307.1311,ดูเพจร้านที่2
1706700869558,312.132,group-2,2.353912,แชทกับร้านที่2
1706700870440,314.5238,001,0.8660889,bag1
1706700879468,323.2104,chat-03,1.20932,เปิดแชททั้งหมด
1706700880113,324.4197,chat-04,0.6451111,เปิดแชทchat-04
1706700920250,363.9911,bank-1,1.209717,เปิดธนาคาร
1706700930468,368.2053,bank-1,7.213593,กดโอนเงิน
1706700936112,378.4202,bank-1,2.560028,กลับแชท
1706700965390,401.1915,chat-04,9.149109,เปิดแชททั้งหมด
1706700966613,410.3406,chat-02,1.223511,เปิดแชทchat-02
1706700976394,417.6428,chat-02,3.703766,เปิดแชททั้งหมด
1706700977281,421.3466,chat-03,0.8866272,เปิดแชทchat-03
1706700987623,431.3582,select-bag2,1.201691,Select ForyouBag
1706700991641,434.6059,001,1.985352,ขอดูสินค้า
1706701069029,482.0603,bank-3-2,10.23383,เปิดธนาคาร
1706701074611,495.2993,bank-3-2,2.57605,โอนเงิน
1706701075695,495.2993,bank-3-2,3.660187,ต่อไป
1706701076606,495.2993,bank-3-2,4.571625,ยืนยัน
1706701077670,495.2993,bank-3-2,5.210144,กลับแชท
1706701077672,495.2993,bank-3-2,5.210144,กลับแชท
1706701078703,500.5094,001,1.329224,prawnthai6-2
1706701106478,512.2458,chat-03,17.37103,เปิดแชททั้งหมด
1706701107375,529.6168,chat-01,0.8967285,เปิดแชทchat-01
1706701123352,545.5283,chat-01,0.9606323,go to ID : group-44-2
1706701124645,0,group-3,547.7565,แชทกับร้านปลอม
1706701136378,550.6219,001,8.892639,bag9
1706701140764,561.9365,001,1.965149,ขอดูสินค้า
1706701156675,575.89,001,3.921997,ไม่ซื้อสินค้า
1706701322151,588.4069,chat-03,156.693,เปิดแชททั้งหมด
1706701324874,745.0999,chat-01,2.722656,เปิดแชทchat-01
1706701329203,750.1081,001,2.041626,ร้านนี้ไม่โกง
แน่นอน ร้านชื่อ ForyouBAG 
1706701333311,754.5433,001,1.711914,ForyouBAG ร้านนี้ดีหมดเลย พูดจาดี ส่งไว
