Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1707902165063,178.833,001,1.727783,เขาใหญ่
1707902178892,192.0023,question_108,2.367172,bag1
1707902191363,202.3316,chat-01,4.510788,go to ID : web-1
1707902197162,211.8453,web-1,0.7819977,ออกจากเว็บ
1707902208843,220.4444,chat-01,3.875443,go to ID : group-1
1707902210020,224.3198,Group-1,1.181351,กดเพื่อโพสต์
1707902210695,225.5012,Group-1,0.6725311,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1707902223023,237.3101,oldchat,1.193237,เล่นแชทแฟน
1707902239856,240.6575,001,14.67691,ชวนมางานวันเกิดแม่
1707902267546,0,group-2,282.9959,ดูเพจร้านที่1
