Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1718620785704,17.76361,choice-chat-01-story1-1,51.15321,เกาะล้าน,False
1718620815308,95.44495,choice-chat-01-Route1/story1-2,3.077408,bag1,False
1718620832443,113.6443,choice-chat-01,2.013908,go to ID : web-1,False
1718620841554,120.6629,choice-web-1,4.097404,ออกจากเว็บ,False
1718620855117,134.6301,choice-chat-01,3.699738,go to ID : group-1,False
1718620856503,138.3298,choice-Group-1,1.389938,กดเพื่อโพสต์,False
1718620857450,139.7198,choice-Group-1,0.9462738,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1718620875384,155.1612,choice-oldchat,3.438965,เล่นแชทแฟน,False
1718620904537,164.886,choice-chat-04-Route1/story1-4,22.86612,ชวนมางานวันเกิดแม่,False
1718620951503,0,choice-group-2,234.7193,ดูเพจร้านที่1,False
1718620957213,239.7197,choice-group-2,0.6552582,แชทกับร้านที่1,False
1718620958593,240.4774,choice-chat-02-Route1/story1-6,1.33078,bag1,False
1718620975677,0,choice-group-2,258.8943,ดูเพจร้านที่2,False
1718620982454,263.8952,choice-group-2,1.72171,แชทกับร้านที่2,False
1718620983762,265.6944,choice-chat-03-Route1/story1-7,1.28186,bag1,False
1718620999438,279.8401,choice-chat-03-Route1/story1-7-1,2.814301,เปิดแชททั้งหมด,False
1718621001118,282.6544,choice-chat-04,1.680664,เปิดแชทchat-04,False
1718621128430,410.2225,choice-bank-1,1.424377,เปิดธนาคาร,False
1718621132559,414.6488,choice-bank-1,1.126373,กดโอนเงิน,False
1718621139272,418.7772,choice-bank-1,3.646637,ไม่โอนเงิน,True
1718621179661,458.8174,choice-chat-04-Route1/story1-8-B,4.060547,เปิดแชททั้งหมด,False
1718621180815,462.8779,choice-chat-02,1.154114,เปิดแชทchat-02,False
1718621190126,472.1356,choice-chat-02-Route2/story1-9,1.20752,เปิดแชททั้งหมด,False
1718621190863,473.3431,choice-chat-03,0.7368774,เปิดแชทchat-03,False
1718621206896,488.7677,choice-select-bag2,1.328613,Select ForyouBag,True
1718621215353,496.1782,choice-chat-03-Route2/story1-10-B,2.389771,ขอดูสินค้า,False
1718621332614,614.9517,choice-bank-3-2,0.8786621,เปิดธนาคาร,False
1718621342774,618.8331,choice-bank-3-2,7.030701,กลับแชท,False
1718621343841,625.8638,choice-chat-03-Route2/story1-12-B,1.191223,prawnthai6-2,False
