Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1718619270094,15.57574,choice-chat-01-story1-1,4.096012,เกาะล้าน,False
1718619301637,45.93036,choice-chat-01-Route1/story1-2,5.284649,bag1,False
1718619615167,66.16001,choice-chat-01,298.5799,go to ID : web-1,False
1718619639911,369.74,choice-web-1,18.0733,ออกจากเว็บ,False
1718619660893,397.7068,choice-chat-01,11.1138,go to ID : group-1,False
1718619696628,408.8206,choice-Group-1,32.66162,กดเพื่อโพสต์,False
1718619697965,441.4822,choice-Group-1,1.336395,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1718619722701,464.6501,choice-oldchat,2.906189,เล่นแชทแฟน,False
1718619730774,473.883,choice-chat-04-Route1/story1-4,1.745056,ถามหา กระเป๋าที่จะ ซื้อเป็น ของขวัญ ให้แม่,False
1718619743102,485.2265,choice-chat-04-Route1/story1-4-3,2.72876,bag1,False
1718620551864,536.4639,choice-group-2,758.1825,ดูเพจร้านที่1,False
1718620559077,1299.653,choice-group-2,2.121216,แชทกับร้านที่1,False
1718620560331,1301.934,choice-chat-02-Route1/story1-6,1.177734,bag1,False
1718620639079,1299.653,choice-group-2,82.20215,แชทกับร้านที่1,False
1718620642649,1381.938,choice-chat-02-Route1/story1-6,3.490479,bag1,False
