Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709125815891,36.40496,001,11.1696,เกาะล้าน,False
1709125831359,58.97958,question_108,3.740814,bag1,False
1709125843100,68.68547,chat-01,5.780212,go to ID : web-1,False
1709125848809,79.46788,web-1,0.665947,ออกจากเว็บ,False
1709125858715,87.90826,chat-01,2.169525,go to ID : group-1,False
1709125859863,90.07779,Group-1,1.15123,กดเพื่อโพสต์,False
1709125861194,91.22902,Group-1,1.33165,มีร้านไหนขายกระเป๋ารุ่นนี้บ้างคะ ต้องการมือ1ค่ะ,False
1709125961583,106.5582,oldchat,84.72358,เล่นแชทแฟน,False
1709125966491,193.4381,001,2.750534,ชวนมางานวันเกิดแม่,False
1709125995569,0,group-2,225.2675,ดูเพจร้านที่1,False
1709126013169,230.2678,group-2,12.40732,แชทกับร้านที่1,False
1709126015394,242.8863,001,2.204269,bag1,False
1709126029646,0,group-2,259.3452,ดูเพจร้านที่2,False
1709126037927,264.3477,group-2,3.07373,แชทกับร้านที่2,False
1709126045123,267.6413,001,7.178436,bag1,False
1709126066908,282.6865,chat-03,13.92075,เปิดแชททั้งหมด,False
1709126070033,296.6072,chat-04,3.124329,เปิดแชทchat-04,False
1709126107508,336.1149,bank-1,1.091156,เปิดธนาคาร,False
1709126111945,340.2111,bank-1,1.431976,กดโอนเงิน,False
1709126121395,344.6483,bank-1,6.019623,โอนเงิน,True
1709126124211,350.6679,001,3.028687,prawnthai5,False
1709126155517,361.3469,chat-04,23.65811,เปิดแชททั้งหมด,False
1709126156706,385.005,chat-02,1.189148,เปิดแชทchat-02,False
1709126175674,392.2667,chat-02,12.89572,เปิดแชททั้งหมด,False
1709126176472,405.1624,chat-03,0.7986145,เปิดแชทchat-03,False
1709126194657,415.3596,select-bag,8.74823,Select ForyouBag,True
1709126200344,426.1621,001,3.669342,ดูคอมเม้นท์ ในเพจ ,False
1709126203046,432.501,page-1-B,0.003295898,กลับแชท,False
1709126317655,545.9515,bank-3,1.191772,เปิดธนาคาร,False
1709126325879,550.1458,bank-3,4.893127,กลับแชท,False
1709126327141,555.0389,001,1.562012,prawnthai6-2,False
1709126339249,567.087,chat-03,1.625854,เปิดแชททั้งหมด,False
1709126340223,568.7128,chat-01,0.9746704,เปิดแชทchat-01,False
1709126393173,584.5353,chat-01,38.09821,go to ID : group-44,False
1709126398897,627.6349,group-3,0.5584717,แชทกับร้านปลอม,False
1709126404713,631.1993,001,2.974976,bag9,False
1709126415683,636.6454,001,8.499451,ดูโพสต์อีกครั้ง,False
1709126422184,650.1486,group-fake2,1.5,กลับแชท,False
1709126430876,653.6531,001,6.681641,ซื้อสินค้า,True
1709126440305,668.4859,bank-5,1.282532,เปิดธนาคาร,False
1709126484731,672.7709,bank-5,18.09766,กลับแชท,False
1709126486593,690.8685,001,2.149475,prawnthai7,False
1709126494399,699.0223,chat-05,1.805298,เปิดแชททั้งหมด,False
1709126495462,700.8276,chat-03,1.063477,เปิดแชทchat-03,False
1709126506431,710.4075,chat-03,2.451538,เปิดแชททั้งหมด,False
1709126507277,712.859,chat-01,0.8464355,เปิดแชทchat-01,False
1709126513519,715.9276,001,4.017944,ForyouBAG ร้านนี้ส่งไว มาก,False
1709126567353,749.3528,chat-01,7.594299,เปิดแชททั้งหมด,False
1709126568230,756.9471,chat-04,0.8789673,เปิดแชทchat-04,False
1709126615200,789.0032,chat-04,9.750549,เปิดแชททั้งหมด,False
1709126617539,798.7537,chat-01,2.338379,เปิดแชทchat-01,False
1709126676529,820.4988,chat-01,39.57874,go to ID : page-2,False
1709126694888,860.0776,page-2,18.36218,ดูคอมเม้น,False
1709126699752,878.4398,page-2,4.864929,กดลิ้งค์ปลอม,True
