Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1707310949211,16.58593,001,6.180668,เขาใหญ่
1707310968454,34.03337,question_108,7.768688,bag1
1707310977904,49.63569,chat-01,1.619953,go to ID : web-1
1707310989737,56.26329,web-1,6.796772,ออกจากเว็บ
1707311041488,70.90528,chat-01,1.320915,go to ID : group-1
1707311042644,72.2262,Group-1,1.160065,กดเพื่อโพสต์
1707311045949,73.38626,Group-1,3.301346,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1707311084037,109.2272,oldchat,5.551086,เล่นแชทแฟน
1707311089061,116.9643,001,2.835991,ถามหา
กระเป๋าที่จะ
ซื้อเป็น
ของขวัญ
ให้แม่
1707311095716,124.4934,001,1.958458,bag1
1707311175326,154.3877,group-2,51.67841,ดูเพจร้านที่1
1707311181032,211.0701,group-2,0.565979,แชทกับร้านที่1
1707311183281,211.7954,001,2.222061,bag1
1707312635836,0,group-2,933.2823,ดูเพจร้านที่2
1707312641744,938.2918,group-2,0.8272095,แชทกับร้านที่2
1707312642643,939.2069,001,0.8795166,bag1
1707312653558,948.0024,chat-03,3.001709,เปิดแชททั้งหมด
1707312654722,951.0042,chat-04,1.164429,เปิดแชทchat-04
1707312751280,1011.157,bank-1,36.31519,เปิดธนาคาร
1707312755356,1050.481,bank-1,1.068481,กดโอนเงิน
1707312760162,1054.549,bank-1,1.425537,กลับแชท
1707312761428,1055.975,001,1.462524,prawnthai5
1707312775748,1065.206,chat-04,6.555908,เปิดแชททั้งหมด
1707312776933,1071.762,chat-02,1.184814,เปิดแชทchat-02
1707312784770,1079.048,chat-02,1.736694,เปิดแชททั้งหมด
1707312785659,1080.785,chat-03,0.8891602,เปิดแชทchat-03
1707312823242,1116.233,select-bag,2.975952,Select BagShop
1707312826876,1121.304,001,1.584717,ขอดูสินค้า
1707312891959,1146.455,bank-2,41.51807,เปิดธนาคาร
1707312897077,1190.979,bank-2,2.111694,กดโอนเงิน
1707312898212,1190.979,bank-2,3.248291,ถัดไป
1707312898915,1190.979,bank-2,3.95105,ยืนยัน
1707312899985,1190.979,bank-2,4.767334,กลับแชท
1707312899987,1190.979,bank-2,4.767334,กลับแชท
1707312901027,1195.746,001,1.290039,prawnthai6-1
1707312915802,1207.533,chat-02,4.284058,เปิดแชททั้งหมด
1707312917801,1211.817,chat-01,1.99939,เปิดแชทchat-01
1707312938737,1229.091,chat-01,5.657959,go to ID : group-4
1707312940324,0,group-3,1236.285,แชทกับร้านปลอม
1707312953710,1239.275,001,10.44592,bag9
1707312958099,1252.177,001,1.935303,ขอดูสินค้า
1707312973739,1266.203,001,3.54895,ไม่ซื้อสินค้า
1707313057127,1278.365,chat-02,74.77612,เปิดแชททั้งหมด
1707313075674,1353.141,chat-01,18.54724,เปิดแชทchat-01
1707313103834,1374.207,001,25.63977,ร้านนี้ไม่โกง
แน่นอน ร้านชื่อ BAGSHOP 
1707313125521,1408.903,001,12.63062,ลายน้ำใน
ภาพไม่ใช่
ชื่อร้าน
1707313135952,1427.55,chat-01,4.41626,เปิดแชททั้งหมด
1707313137283,1431.967,chat-04,1.330078,เปิดแชทchat-04
1707313244178,1470.719,chat-04,67.18689,เปิดแชททั้งหมด
1707313248836,1537.905,chat-01,4.652344,เปิดแชทchat-01
