Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709233770998,16.87656,001,1.574959,กาญจนบุรี,False
1709233816544,29.77079,question_108,34.20042,bag1,False
1709233824601,69.96918,chat-01,2.059975,go to ID : web-1,False
1709233830278,77.03106,web-1,0.6645889,ออกจากเว็บ,False
1709233839189,85.50336,chat-01,1.114113,go to ID : group-1,False
1709233840018,86.61747,Group-1,0.8308868,กดเพื่อโพสต์,False
1709233841059,87.44836,Group-1,1.040092,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709233855927,102.2553,oldchat,1.101662,เล่นแชทแฟน,False
1709233858965,105.4855,001,0.907814,ชวนมางานวันเกิดแม่,False
1709233893684,135.9995,group-2,5.11322,ดูเพจร้านที่1,False
1709233899686,146.1183,group-2,0.8721161,แชทกับร้านที่1,False
1709233919827,147.1508,001,20.10368,bag1,False
1709233934329,0,group-2,181.7585,ดูเพจร้านที่2,False
1709233948479,186.7632,group-2,9.044418,แชทกับร้านที่2,False
1709233956034,195.9242,001,7.537415,bag1,False
1709233966564,211.392,chat-03,2.602493,เปิดแชททั้งหมด,False
1709233967505,213.9945,chat-04,0.9414063,เปิดแชทchat-04,False
1709234005463,251.7211,bank-1,1.171387,เปิดธนาคาร,False
1709234009286,255.9001,bank-1,0.8146057,กดโอนเงิน,False
1709234012608,259.7247,bank-1,0.2207031,ไม่โอนเงิน,True
1709234034252,280.2236,chat-04,1.458191,เปิดแชททั้งหมด,False
1709234035235,281.6818,chat-02,0.9832153,เปิดแชทchat-02,False
1709234047691,288.7492,chat-02,6.372589,เปิดแชททั้งหมด,False
1709234048674,295.1218,chat-03,0.9823303,เปิดแชทchat-03,False
1709234061081,305.0524,select-bag2,3.449402,Select BagShop,True
1709234066654,310.5336,001,3.549713,ขอดูสินค้า,False
1709234092453,338.6399,bank-2-2,1.243683,เปิดธนาคาร,False
1709234099567,342.888,bank-2-2,3.592682,กลับแชท,False
1709234100460,346.4807,001,1.188232,prawnthai6-1,False
1709234112599,358.254,chat-02,1.557312,เปิดแชททั้งหมด,False
1709234113775,359.8113,chat-01,1.174622,เปิดแชทchat-01,False
1709234130413,376.0172,chat-01,1.60498,go to ID : group-4-2,False
1709234132306,0,group-3,379.3661,แชทกับร้านปลอม,False
1709234136613,382.4366,001,1.384949,bag9,False
1709234141782,386.3286,001,2.662598,ขอดูสินค้า,False
1709234155868,401.0611,001,2.016235,ซื้อสินค้า,True
1709234262847,410.5231,bank-4-2,92.96994,เปิดธนาคาร,False
1709234292118,506.496,bank-4-2,25.97485,กลับแชท,False
1709234293721,532.4709,001,1.885559,prawnthai7,False
1709234300780,540.3656,chat-05,1.052917,เปิดแชททั้งหมด,False
1709234301995,541.4185,chat-02,1.214661,เปิดแชทchat-02,False
1709234312322,551.2123,chat-02,1.748291,เปิดแชททั้งหมด,False
1709234313442,552.9606,chat-01,1.11969,เปิดแชทchat-01,False
1709234323227,556.3951,001,7.468506,ร้านนี้ไม่โกง แน่นอน ร้านชื่อ BAGSHOP,False
1709234346756,586.0224,chat-01,1.372803,เปิดแชททั้งหมด,False
1709234348197,587.3952,chat-05,1.440857,เปิดแชทchat-05,False
1709234361580,598.8487,chat-05,3.370605,เปิดแชททั้งหมด,False
1709234362548,602.2193,chat-01,0.9675903,เปิดแชทchat-01,False
1709234372735,611.5009,chat-01,1.873108,เปิดแชททั้งหมด,False
1709234373716,613.374,chat-04,0.9798584,เปิดแชทchat-04,False
