Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709229934989,18.38555,001,20.33306,เกาะล้าน,False
1709229948380,50.65808,question_108,1.406792,bag1,False
1709229986869,58.05447,chat-01,32.49988,go to ID : web-1,False
1709229994224,95.55619,web-1,2.343758,ออกจากเว็บ,False
1709230008905,105.706,chat-01,6.882538,go to ID : group-1,False
1709230009764,112.5885,Group-1,0.8617477,กดเพื่อโพสต์,False
1709230010429,113.4503,Group-1,0.6655273,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709230049586,152.3338,oldchat,0.9384003,เล่นแชทแฟน,False
1709230052502,155.4159,001,0.7705231,ชวนมางานวันเกิดแม่,False
1709230130749,173.4682,chat-04,60.9651,go to ID : group-2,False
