Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709230389131,229.7488,001,20.59291,เกาะล้าน,False
1709230423764,262.1186,question_108,22.62061,bag1,False
1709230450081,290.7712,chat-01,20.28607,go to ID : web-1,False
1709230455900,316.0602,web-1,0.8085632,ออกจากเว็บ,False
1709230469746,324.6822,chat-01,6.038635,go to ID : group-1,False
1709230471035,330.7209,Group-1,1.291901,กดเพื่อโพสต์,False
1709230474009,332.0128,Group-1,2.97403,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1709230495168,349.505,oldchat,6.640686,เล่นแชทแฟน,False
1709230544063,358.2837,001,46.75452,ชวนมางานวันเกิดแม่,False
1709230569791,0,group-2,430.7691,ดูเพจร้านที่1,False
