Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1708001268213,15.27868,001,4.974488,เกาะล้าน
1708001281164,31.69291,question_108,1.218279,bag1
1708001290342,41.00983,chat-01,1.080112,go to ID : web-1
1708001295947,47.09311,web-1,0.5451698,ออกจากเว็บ
1708001306245,55.47952,chat-01,2.513138,go to ID : group-1
1708001307494,57.99266,Group-1,1.251724,กดเพื่อโพสต์
1708001316800,59.24438,Group-1,9.302597,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1708001367506,118.1792,oldchat,1.076866,เล่นแชทแฟน
1708001371755,121.4575,001,2.043755,ชวนมางานวันเกิดแม่
1708001398438,0,group-2,150.1859,ดูเพจร้านที่1
1708001405439,155.1931,group-2,1.769409,แชทกับร้านที่1
1708001407123,157.2235,001,1.647598,bag1
1708001421287,0,group-2,173.0372,ดูเพจร้านที่2
1708001428982,178.0378,group-2,2.460251,แชทกับร้านที่2
1708001434381,180.7538,001,5.374084,bag1
1708001444783,194.0232,chat-03,2.510132,เปิดแชททั้งหมด
1708001447867,196.5333,chat-04,3.084824,เปิดแชทchat-04
1708001486734,237.0507,bank-1,1.431747,เปิดธนาคาร
1708001493972,241.483,bank-1,4.238724,กดโอนเงิน
1708001510219,248.7354,bank-1,12.84959,กลับแชท
1708001511634,261.585,001,1.613281,prawnthai5
1708001540322,270.9803,chat-04,20.90991,เปิดแชททั้งหมด
1708001541853,291.8902,chat-02,1.531036,เปิดแชทchat-02
1708001549361,299.526,chat-02,1.404114,เปิดแชททั้งหมด
1708001550635,300.9301,chat-03,1.273193,เปิดแชทchat-03
1708001598101,311.3377,select-bag,26.67242,Select ForyouBag
1708001605877,340.101,001,5.721619,ดูคอมเม้นท์ ในเพจ 
1708001618457,358.3466,page-1-A,0.01278687,กลับแชท
1708001650651,389.1376,bank-2,1.460938,เปิดธนาคาร
1708001656358,393.6062,bank-2,2.699768,กดโอนเงิน
1708001657295,393.6062,bank-2,3.637878,ถัดไป
1708001660021,393.6062,bank-2,6.363068,ยืนยัน
1708001661234,393.6062,bank-2,7.258575,กลับแชท
1708001661236,393.6062,bank-2,7.258575,กลับแชท
1708001662855,400.8647,001,1.906555,prawnthai6-1
1708001680944,413.1891,chat-02,7.674683,เปิดแชททั้งหมด
1708001681977,420.8638,chat-01,1.03299,เปิดแชทchat-01
1708001731043,437.145,chat-01,33.81046,go to ID : group-4
1708001733380,0,group-3,473.0706,แชทกับร้านปลอม
1708001738142,476.199,001,1.845215,bag9
1708001746768,480.5193,001,6.156128,ขอดูสินค้า
1708001762754,498.806,001,3.853333,ไม่ซื้อสินค้า
1708001773932,512.158,chat-05,1.683411,เปิดแชททั้งหมด
1708001775156,513.8414,chat-02,1.222595,เปิดแชทchat-02
1708001790652,523.6776,chat-02,6.882935,เปิดแชททั้งหมด
1708001802952,530.5605,chat-01,12.29999,เปิดแชทchat-01
1708001813899,545.1859,001,8.618591,BAGSHOP ร้านนี้ส่งไว
มาก
1708001952769,562.8402,001,129.8338,แม่ค้าเร่งให้
ซื้อเลย
รำคาญ
1708001961757,698.6774,chat-01,2.988037,เปิดแชททั้งหมด
1708001963274,701.6655,chat-04,1.516418,เปิดแชทchat-04
1708002004496,740.004,chat-04,4.399963,เปิดแชททั้งหมด
1708002005924,744.4039,chat-01,1.427063,เปิดแชทchat-01
1708002031094,766.4085,chat-01,4.590698,go to ID : page-2
1708002034004,770.9992,page-2,2.911499,ดูคอมเม้น
1708002037532,773.9107,page-2,3.528931,กดลิงค์ปลอม
