Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1709797164928,16.65245,001,11.78118,เกาะล้าน,False
1709797178937,39.80523,question_108,2.319122,bag1,False
1709797196956,48.14739,chat-01,11.99696,go to ID : web-1,False
1709797203719,65.14529,web-1,1.710503,ออกจากเว็บ,False
1709797230744,74.67805,chat-01,19.25362,go to ID : group-1,False
1709797231630,93.93168,Group-1,0.8880386,กดเพื่อโพสต์,False
1709797233331,94.81972,Group-1,1.70137,มีร้านไหนขายกระเป๋ารุ่นนี้บ้างคะ ต้องการมือ1ค่ะ,False
1709797335494,149.6416,oldchat,40.67967,เล่นแชทแฟน,False
1709797360349,192.4979,001,22.67313,ชวนมางานวันเกิดแม่,False
1709797387948,0,group-2,242.775,ดูเพจร้านที่1,False
1709797409027,247.777,group-2,15.8613,แชทกับร้านที่1,False
1709797412112,263.8798,001,3.05896,bag1,False
1709797442853,287.9886,group-2,9.692505,ดูเพจร้านที่2,False
1709797459991,302.6836,group-2,11.93976,แชทกับร้านที่2,False
1709797461122,314.8412,001,1.105774,bag1,False
1709797476833,323.7814,chat-03,6.512146,เปิดแชททั้งหมด,False
1709797477638,330.2935,chat-04,0.8043213,เปิดแชทchat-04,False
1709797549471,401.7797,bank-1,0.9764099,เปิดธนาคาร,False
1709797553901,405.771,bank-1,1.414032,กดโอนเงิน,False
1709797559340,410.1889,bank-1,2.078186,โอนเงิน,True
1709797560774,412.2671,001,1.645081,prawnthai5,False
