Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1717165387908,28.9547,choice-chat-01-story1-1,7.158888,เกาะล้าน,False
1717165421831,59.25021,choice-chat-01-Route1/story1-2,4.522476,bag1,False
1717165485884,75.69096,choice-chat-01,47.8466,go to ID : web-1,False
1717165498689,128.538,choice-web-1,6.622971,ออกจากเว็บ,False
1717165560128,144.9326,choice-chat-01,4.660233,go to ID : group-1,False
1717165561515,149.5928,choice-Group-1,1.369278,กดเพื่อโพสต์,False
1717165562398,150.9621,choice-Group-1,0.8229828,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ,False
1717165589806,171.0519,choice-oldchat,4.466125,เล่นแชทแฟน,False
1717165602248,181.6533,choice-chat-04-Route1/story1-4,1.81134,ชวนมางานวันเกิดแม่,False
1717165659827,0,choice-group-2,226.7949,ดูเพจร้านที่1,False
1717165699430,231.7987,choice-group-2,11.01566,แชทกับร้านที่1,False
1717165736798,242.9964,choice-chat-02-Route1/story1-6,4.10556,bag1,False
1717165751068,0,choice-group-2,261.3094,ดูเพจร้านที่2,False
1717165757687,266.312,choice-group-2,1.574402,แชทกับร้านที่2,False
1717165758784,268.0089,choice-chat-03-Route1/story1-7,1.079254,bag1,False
1717165773484,278.9444,choice-chat-03-Route1/story1-7-1,4.846649,เปิดแชททั้งหมด,False
1717165774671,283.791,choice-chat-04,1.186005,เปิดแชทchat-04,False
1717166229819,434.0069,choice-bank-1,1.949493,เปิดธนาคาร,False
1717166233989,438.9581,choice-bank-1,1.146393,กดโอนเงิน,False
1717166240455,443.1052,choice-bank-1,3.318237,โอนเงิน,True
1717166241490,446.4234,choice-chat-04-Route1/story1-8-A,1.201935,prawnthai5,False
1717166439820,459.2889,choice-chat-04-Route1/story1-8-A-1,2.568512,เปิดแชททั้งหมด,False
1717166440709,461.8574,choice-chat-02,0.88974,เปิดแชทchat-02,False
1717166487866,470.8169,choice-chat-02-Route1/story1-9,39.08679,เปิดแชททั้งหมด,False
1717166488954,509.9037,choice-chat-03,1.088501,เปิดแชทchat-03,False
1717166501976,522.6,choice-select-bag,1.376648,Select BagShop,True
1717166525278,530.0355,choice-chat-02-Route1/story1-10-A,15.4715,ขอดูสินค้า,False
1717167281097,1299.037,choice-bank-2,0.9576416,เปิดธนาคาร,False
1717167349204,1302.995,choice-bank-2,63.64966,กลับแชท,False
1717167350053,1366.644,choice-chat-02-Route1/story1-12-A,0.9456787,prawnthai6-1,False
1717167686801,1386.047,choice-chat-02-Route1/story1-12-A-1,318.2937,เปิดแชททั้งหมด,False
1717167687786,1704.341,choice-chat-01,0.9846191,เปิดแชทchat-01,False
1717167743483,1742.123,choice-chat-01,16.99243,go to ID : group-4,False
1717167751433,1764.116,choice-group-3,2.860352,แชทกับร้านปลอม,False
1717167759955,1771.93,choice-chat-05-Route1/story1-14-AA,3.700439,bag9,False
1717167783539,1782.1,choice-chat-05-Route1/story1-14-AA-1,17.11487,ขอดูสินค้า,False
1717167861188,1823.234,choice-chat-05-Route1/story1-15-A,53.63025,ไม่ซื้อสินค้า,True
1717167874778,1888.244,choice-chat-05-Route1/RouteN/story1-15-AA,2.212036,เปิดแชททั้งหมด,False
1717167875898,1890.456,choice-chat-02,1.120239,เปิดแชทchat-02,False
1717167892048,1906.154,choice-chat-02-Route1/RouteN/story1-16-A,1.572388,เปิดแชททั้งหมด,False
1717167893153,1907.726,choice-chat-01,1.104492,เปิดแชทchat-01,False
1717171290485,1913.059,choice-chat-01-Route1/RouteN/story1-16-A-1,3393.1,BAGSHOP ร้านนี้ส่งไว มาก,False
1717171860916,5323.168,choice-chat-01-Route1/RouteN/story1-19,549.9429,ราคาแพง,False
1717171890706,5881.274,choice-chat-01-Route1/RouteN/story1-19C-3,19.75488,เปิดแชททั้งหมด,False
1717171891443,5901.029,choice-chat-04,0.7368164,เปิดแชทchat-04,False
1717171956472,5962.679,choice-chat-04-Route1/RouteN/story1-20,4.113281,เปิดแชททั้งหมด,False
1717171957322,5966.792,choice-chat-01,0.8520508,เปิดแชทchat-01,False
1717172021706,6013.153,choice-chat-01,18.82275,go to ID : page-2,False
1717172023703,6031.976,choice-page-2,1.936035,ดูคอมเม้น,False
1717172025184,6033.912,choice-page-2,1.566406,กดลิ้งค์ปลอม,True
