Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1706705417373,24.85901,001,45.55439,เขาใหญ่
1706705435363,81.86475,question_108,6.411285,bag1
1706705528788,96.17127,chat-01,85.52959,go to ID : web-1
1706705534766,186.705,web-1,0.9600372,ออกจากเว็บ
1706705544381,195.4578,chat-01,1.836197,go to ID : group-1
1706705545414,197.294,Group-1,1.034348,กดเพื่อโพสต์
1706705546223,198.3284,Group-1,0.8088226,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1706705556002,206.242,001,2.673416,ถามหา
กระเป๋าที่จะ
ซื้อเป็น
ของขวัญ
ให้แม่
1706705568534,213.737,001,7.708328,bag1
1706705672518,247.6148,group-2,77.81685,ดูเพจร้านที่1
1706705678710,330.4344,group-2,1.136902,แชทกับร้านที่1
1706705679620,331.6523,001,0.8797302,bag1
1706705693785,0,group-2,346.6988,ดูเพจร้านที่2
1706705733040,351.7001,group-2,34.22406,แชทกับร้านที่2
1706705734864,385.9705,001,1.806183,bag1
1706705754954,395.5927,chat-03,12.27719,เปิดแชททั้งหมด
1706705756609,407.8699,chat-04,1.65387,เปิดแชทchat-04
1706705855858,507.1169,bank-1,1.655701,เปิดธนาคาร
1706705866883,511.7757,bank-1,8.020905,กดโอนเงิน
1706705873413,522.8018,bank-1,3.447754,กลับแชท
1706705894837,546.5182,chat-04,1.232544,เปิดแชททั้งหมด
1706705895608,547.7507,chat-02,0.7718506,เปิดแชทchat-02
1706705906204,554.6075,chat-02,4.512573,เปิดแชททั้งหมด
1706705906921,559.1201,chat-03,0.7160034,เปิดแชทchat-03
