Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1705496546850,86.64058,001,27.30818,กาญจนบุรี
1705496676194,125.143,question_108,94.79079,bag1
1705496687605,227.6943,chat-01,3.651443,go to ID : web-1
1705496693617,236.3474,web-1,1.002625,ออกจากเว็บ
1705496703928,245.1232,chat-01,2.546188,go to ID : group-1
1705496706310,247.6694,Group-1,2.384323,กดเพื่อโพสต์
1705496710311,250.0538,Group-1,3.998764,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1705496718737,261.153,001,1.324554,ถามหา
กระเป๋าที่จะ
ซื้อเป็น
ของขวัญ
ให้แม่
1705496879892,267.1416,001,77.78442,bag1
1705496908331,371.902,group-2,1.456848,ดูเพจร้านที่1
1705496915964,378.3608,group-2,2.593445,แชทกับร้านที่1
1705496918507,381.0449,001,2.495605,bag1
1705496933691,0,group-2,398.7261,ดูเพจร้านที่2
1705496939650,403.7266,group-2,0.9256592,แชทกับร้านที่2
1705496941548,404.7017,001,1.8797,bag1
1705496951842,414.4484,chat-03,2.42923,เปิดแชททั้งหมด
1705496953605,416.8776,chat-04,1.763916,เปิดแชทchat-04
