Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1705489902473,19.73297,001,111.9274,เกาะล้าน
1705489916152,143.0435,question_108,2.252518,bag1
1705489928642,153.1779,chat-01,4.60936,go to ID : web-1
1705489934738,162.7902,web-1,1.08049,ออกจากเว็บ
1705489943413,171.6763,chat-01,0.8815613,go to ID : group-1
1705489944373,172.5578,Group-1,0.9621429,กดเพื่อโพสต์
1705489945039,173.52,Group-1,0.662674,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1705489958870,181.2887,001,6.726135,ชวนมางานวันเกิดแม่
1705490004037,231.9829,group-2,1.198929,ดูเพจร้านที่1
1705490010340,238.1834,group-2,1.25946,แชทกับร้านที่1
1705490011218,239.5098,001,0.8515625,bag1
1705490025078,0,group-2,254.2252,ดูเพจร้านที่2
1705490030746,259.2315,group-2,0.5452576,แชทกับร้านที่2
1705490031819,259.9071,001,1.05603,bag1
1705490043449,268.7946,chat-03,3.801666,เปิดแชททั้งหมด
1705490044900,272.5963,chat-04,1.450073,เปิดแชทchat-04
