Date,TimeFromStartQuestTion,ID,AnsTime,Ans
1705489618938,18.44991,001,1.877672,กาญจนบุรี
1705489632451,31.68097,question_108,2.151094,bag1
1705489642078,41.75977,chat-01,1.700577,go to ID : web-1
1705489648261,48.4629,web-1,1.167702,ออกจากเว็บ
1705489661640,57.41597,chat-01,5.605854,go to ID : group-1
1705489662456,63.02183,Group-1,0.8172188,กดเพื่อโพสต์
1705489663161,63.83905,Group-1,0.7038002,ตามหากระเป๋ารุ่นนี้ค่ะ ราคาบวกเพิ่มจากราคาจริงที่ official ขายได้ค่ะ
1705489671782,71.65773,001,1.506172,ถามหา
กระเป๋าที่จะ
ซื้อเป็น
ของขวัญ
ให้แม่
1705489677661,77.95569,001,1.086014,bag1
1705489705073,105.4094,group-2,1.045906,ดูเพจร้านที่1
1705489711034,111.4573,group-2,0.8331909,แชทกับร้านที่1
1705489714483,112.4432,001,3.420876,bag1
