Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710849958705,30.17734,chat-01,1.67729,go to ID : 2page-1,False
1710849964174,34.85574,2page-1,2.470036,เลือก Choice No:2,False
1710850009838,40.32974,2page-1,42.64421,กลับแชท,False
1710850020264,90.17993,chat-01,3.232475,go to ID : 2page-2,False
1710850039578,93.41241,2page-2,19.29681,กลับแชท,False
1710850108876,175.5932,2page-3,1.452515,กลับแชท,False
1710850115586,182.2932,001,1.488129,sticker3,False
1710850127556,192.5714,001,3.18045,50โพสต์ค่ะ,False
1710850143277,203.6927,2bank-1,7.782272,เปิดธนาคาร,False
1710850151122,214.4864,2bank-1,4.405975,กลับแชท,False
1710850152043,218.8924,001,1.219696,prawnthai1,False
1710850172688,239.9066,001,0.8508301,สนใจ,False
1710850180780,247.1677,001,1.681625,ไม่โอน,False
1710850182601,248.8493,chat-02,1.822891,เปิดแชททั้งหมด,False
1710850183439,250.6722,chat-01,0.838501,เปิดแชทchat-01,False
1710850189887,256.9239,001,1.032196,ร้านไม่น่าเชื่อถือ,False
1710850199521,265.2679,001,2.322144,ชอบอันที่2นะ,False
1710850253635,283.1093,chat-01,38.59647,เปิดแชททั้งหมด,False
1710850541384,214.4864,2bank-1,394.9219,กลับแชท,False
1710850542923,609.4083,001,1.583069,prawnthai1,False
1710850566517,630.9644,001,3.622131,ไม่สนใจ,False
1710850573687,634.5865,chat-02,7.171936,เปิดแชททั้งหมด,False
1710850575379,641.7584,chat-01,1.692749,เปิดแชทchat-01,False
1710850583744,648.8659,001,2.947021,มีค่าสมัคร,False
1710850601138,659.1276,001,10.07977,ชอบอันที่2นะ,False
1710850617614,684.7523,chat-01,0.9331665,เปิดแชททั้งหมด,False
1710850651306,214.4864,2bank-1,504.8315,กลับแชท,False
1710850653591,719.318,001,2.340576,prawnthai1,False
1710850678129,741.6223,001,4.574768,สนใจ,False
1710850686735,752.6234,001,2.18103,โอน,False
1710850687902,754.8044,2bank-3,1.169067,เปิดธนาคาร,False
1710850694704,758.9749,2bank-3,3.231934,กลับแชท,False
1710850700516,762.2068,001,6.102417,prawnthai4,False
