Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1711371788811,64.21854,chat-01,32.15953,go to ID : 2page-1,False
1711371804979,99.38187,2page-1,13.16733,เลือก Choice No:3,False
1711371889704,115.5524,2page-1,81.70212,กลับแชท,False
1711371916395,204.4046,chat-01,19.5571,go to ID : 2page-2,False
1711371944875,223.9617,2page-2,28.4502,กลับแชท,False
1711372072595,283.5897,2page-3,95.04752,กลับแชท,False
1711372199113,384.1217,001,121.3426,sticker1,False
1711372228607,514.2068,001,20.75189,ลอง10โพสต์ก่อนค่ะ,False
1711372238541,543.589,2bank-1,1.306458,เปิดธนาคาร,False
1711372256716,547.8979,2bank-1,14.45343,กลับแชท,False
1711372258297,562.3513,001,1.88092,prawnthai1,False
1711372443197,583.9617,001,74.8222,สนใจ,False
1711372471495,665.1711,001,21.91022,โอน,False
1711372909482,547.8979,2bank-1,149.5474,กลับแชท,False
1711372910250,697.4453,001,0.8161621,prawnthai1,False
1711372933949,718.0712,001,3.89032,สนใจ,False
1711372941808,728.3631,001,1.455261,โอน,False
1711372943973,729.8184,2bank-2,2.16864,เปิดธนาคาร,False
1711373024738,734.9874,2bank-2,77.65881,กลับแชท,False
1711373026144,812.6462,001,1.509216,prawnthai1,False
1711373051006,834.0189,001,4.999695,สนใจ,False
1711373063493,845.4224,001,6.082825,โอน,False
1711373143819,851.5052,2bank-2,68.63971,เปิดธนาคาร,False
1711373149663,923.1469,2bank-2,2.748596,กลับแชท,False
1711373241667,925.8954,001,4.789368,prawnthai1,False
1711373265606,950.6737,001,3.951355,สนใจ,False
1711373273521,961.0127,001,1.52594,โอน,False
1711373292557,962.5386,2bank-2,2.21106,เปิดธนาคาร,False
1711373299624,967.7529,2bank-2,3.519104,กลับแชท,False
1711373301108,971.272,001,1.580994,prawnthai3,False
1711373328845,987.3042,chat-02,12.26807,เปิดแชททั้งหมด,False
1711373332374,999.5723,chat-01,3.528564,เปิดแชทchat-01,False
1711373401431,1026.233,001,33.33899,ชอบอันที่2นะ,False
1711373753105,967.7529,2bank-2,399.1134,กลับแชท,False
1711373754075,1366.866,001,1.083618,prawnthai3,False
1711373786236,1382.408,chat-02,17.67676,เปิดแชททั้งหมด,False
1711373787266,1400.085,chat-01,1.030273,เปิดแชทchat-01,False
1711373813404,1424.284,001,2.967896,ชอบอันที่2นะ,False
1711373834712,1448.063,2page-pA,0.1943359,กลับแชท,False
1711373871900,1460.495,001,25.25378,โอน,False
1711373873000,1485.749,2bank-3A,1.102295,เปิดธนาคาร,False
1711373921530,1489.852,2bank-3A,45.14551,กลับแชท,False
1711373924819,1534.997,001,3.588013,prawnthai4,False
1711373945330,1547.442,001,11.65869,รับ,False
1711373955779,1568.371,2bank-4A,1.179443,เปิดธนาคาร,False
1711373964530,1572.556,2bank-4A,5.713501,กลับแชท,False
1711373996254,1589.089,chat-04,20.9375,เปิดแชททั้งหมด,False
1711373999010,1610.026,chat-02,2.756348,เปิดแชทchat-02,False
1711374076574,1633.57,chat-02,56.77686,เปิดแชททั้งหมด,False
1711374077638,1690.346,chat-01,1.06311,เปิดแชทchat-01,False
1711374100265,1699.176,001,14.85889,ทำบุญที่ อยุธยา,False
1711374378916,1723.084,001,261.7101,รอของมาส่งอยู่,False
1711374622934,2019.704,2page-4,4.660767,เลือก Choice No:Scroll View (1),False
1711374631931,2027.368,2page-4,5.615601,กลับแชท,False
1711374852216,2250.646,2page-5,2.912109,เลือก Choice No:Scroll View (1),False
1711374876432,2256.559,2page-5,20.93726,กลับแชท,False
1711374901775,2297.921,2page-select,5.157227,Select Knock Knock,True
1711374916793,2304.082,001,14.05151,30000,False
1711375074509,2474.76,2bank-5-2,1.092773,เปิดธนาคาร,False
1711375123304,2478.857,2bank-5-2,45.46997,กลับแชท,False
1711375126464,2524.327,001,3.454102,prawnthai7,False
1711375336232,2535.013,chat-05,202.5393,เปิดแชททั้งหมด,False
1711375339696,2737.552,chat-01,3.463135,เปิดแชทchat-01,False
