Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710851962719,22.41562,2page-p,1.708153,กลับแชท,False
1710851978846,36.14849,001,4.13073,ไม่โอน,False
1710851980379,40.27922,chat-04,1.534878,เปิดแชททั้งหมด,False
1710851981373,41.8141,chat-01,0.9942322,เปิดแชทchat-01,False
1710851992035,50.58318,001,2.885017,เขาใหญ่,False
1710852005604,62.52671,001,4.510929,ร้านมันโกง หลายวันแล้วของยังไม่มีเลขแทรคเลย,False
1710852032102,91.4477,2page-4,2.089378,เลือก Choice No:Scroll View (1),False
1710852037470,96.54264,2page-4,2.335358,กลับแชท,False
1710852048105,108.4645,2page-5,1.07505,เลือก Choice No:Scroll View (1),False
1710852052162,112.5438,2page-5,1.03157,กลับแชท,False
1710852080664,139.5644,2page-select,2.52179,Select Knock Knock,True
1710852082938,143.0894,001,1.282928,30000,False
