Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710835472898,33.69008,chat-01,3.236698,go to ID : 2page-1,False
1710835485796,39.92698,2page-1,9.900867,เลือก Choice No:2,False
1710835490336,52.82922,2page-1,1.501549,กลับแชท,False
1710835500078,61.53338,chat-01,2.572105,go to ID : 2page-2,False
1710835521138,64.10548,2page-2,21.01499,กลับแชท,False
1710835834345,64.10548,2page-2,325.2161,กลับแชท,False
1710835891092,417.3407,2page-3,28.15997,กลับแชท,False
1710835941638,417.3407,2page-3,73.60693,กลับแชท,False
1710835944036,451.0093,001,42.34564,Image/Story2/sticker3,False
1710835953318,500.216,001,2.421509,ลอง10โพสต์ก่อนค่ะ,False
1710835962396,417.3407,2page-3,94.36603,กลับแชท,False
