Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1710855155400,236.3315,chat-01,7.171295,go to ID : 2page-1,False
1710855225058,246.5075,2page-1,66.65686,เลือก Choice No:1,False
1710855239289,316.1688,2page-1,11.20529,กลับแชท,False
1710855259179,334.6447,chat-01,12.63779,go to ID : 2page-2,False
1710855360028,347.2825,2page-2,100.8284,กลับแชท,False
1710855555155,498.4384,2page-3,144.3753,กลับแชท,False
1710855683034,648.3703,001,122.6085,sticker1,False
1710855728887,779.8496,001,36.98138,ลอง10โพสต์ก่อนค่ะ,False
1710855771945,857.5862,2bank-6,2.305237,เปิดธนาคาร,False
1710855896676,862.8993,2bank-6,120.7773,กลับแชท,False
1710855899235,983.6766,001,2.843567,prawnthai1,False
1710856110836,1006.346,001,191.7748,สนใจ,False
1710856183272,1204.596,001,65.95947,โอน,False
1710856184779,1270.555,2bank-7,1.510864,เปิดธนาคาร,False
1710856195421,1275.077,2bank-7,7.366943,กลับแชท,False
1710856197270,1282.444,001,2.110107,prawnthai3,False
1710856219983,1299.079,chat-03,8.190674,เปิดแชททั้งหมด,False
1710856229064,1307.269,chat-01,9.0802,เปิดแชทchat-01,False
1710856306433,1321.785,001,71.93262,ร้านไม่น่าเชื่อถือ,False
1710856500897,1401.084,001,16.55151,ชอบอันที่3นะ,False
1710856760961,1674.827,2page-p,2.716431,กลับแชท,False
1710856849144,1689.971,001,75.90955,โอน,False
1710856863004,1765.88,2bank-3,13.86304,เปิดธนาคาร,False
1710856965399,1782.753,2bank-3,99.09265,กลับแชท,False
1710856972625,1881.845,001,7.501831,prawnthai4,False
1710856992963,1898.477,001,11.20911,รับ,False
1710857004403,1919.81,2bank-3,1.319458,เปิดธนาคาร,False
1710857024828,1924.134,2bank-3,17.38391,กลับแชท,False
1710857026597,1941.518,001,1.800903,prawnthai4,False
1710857040251,1952.371,001,4.603027,ไม่รับ,False
1710857067996,1976.767,chat-04,7.954834,เปิดแชททั้งหมด,False
1710857069032,1984.722,chat-01,1.035645,เปิดแชทchat-01,False
1710857085439,1993.683,001,8.479492,ทำบุญที่ อยุธยา,False
1710857855870,2011.356,001,761.236,ร้านมันโกง หลายวันแล้วของยังไม่มีเลขแทรคเลย,False
1710858560908,3477.535,2page-4,0.09912109,เลือก Choice No:Scroll View (1),False
1710858576202,3480.637,2page-4,12.10303,กลับแชท,False
1710858690867,3605.751,2page-5,1.841064,เลือก Choice No:Scroll View (1),False
1710858700121,3610.603,2page-5,6.099609,กลับแชท,False
1710860025306,3631.322,2page-select,1310.695,Select Bmoney,True
1710860058560,4944.592,001,30.69092,30000,False
1710860194072,4996.056,chat-06,114.7417,เปิดแชททั้งหมด,False
1710860283572,5110.798,chat-01,89.5,เปิดแชทchat-01,False
1710860321067,3631.322,2page-select,1606.422,Select Knock Knock,True
1710860325766,5238.753,001,3.736328,30000,False
1710860438610,5354.027,2bank-5-2,1.308105,เปิดธนาคาร,False
1710860545953,5358.345,2bank-5-2,103.8594,กลับแชท,False
1710860547626,5462.205,001,1.95752,prawnthai6,False
1710860586972,5471.395,chat-05,32.11768,เปิดแชททั้งหมด,False
1710860587918,5503.512,chat-01,0.9448242,เปิดแชทchat-01,False
