Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1711654222142,61.55704,chat-01,4.470318,go to ID : 2page-1,False
1711654223244,66.02736,2page-1,1.10392,เลือก Choice No:2,False
1711654227233,70.13383,2page-1,0.9790649,กลับแชท,False
1711654239011,78.31493,chat-01,4.57943,go to ID : 2page-2,False
1711654263211,82.89436,2page-2,24.19321,กลับแชท,False
1711654370751,136.3972,2page-3,77.95412,กลับแชท,False
1711654383317,219.8409,001,7.360672,sticker2,False
1711654400144,235.9856,001,8.044479,ลอง10โพสต์ก่อนค่ะ,False
1711654408331,251.375,2bank-1,0.843277,เปิดธนาคาร,False
1711654426353,255.2186,2bank-1,14.49792,กลับแชท,False
1711654427766,269.7166,001,1.709625,prawnthai1,False
1711654453352,295.107,001,1.852051,สนใจ,False
1711654460955,303.3599,001,1.202637,โอน,False
1711654461955,304.5626,2bank-2,1.001709,เปิดธนาคาร,False
1711654469341,308.5688,2bank-2,3.96579,กลับแชท,False
1711654485501,312.5346,001,16.42224,prawnthai3,False
1711654505424,347.3474,chat-02,1.534698,เปิดแชททั้งหมด,False
1711654506356,348.882,chat-01,0.9316711,เปิดแชทchat-01,False
