Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1718024857732,80.43174,choice-chat-01-story3-1,11.16063,วัดพระธาตุ เขาน้อย จ.น่าน,False
1718024928471,153.1181,choice-chat-01,9.207733,go to ID : 3Page-FG,False
1718024937507,167.3294,choice-page1,4.027893,ออกจากเว็บ,False
1718025044479,220.7175,choice-3Page-FG2,57.60677,เลือก Choice No:2,False
1718025187434,220.7175,choice-story3-4-1,200.5452,กลับแชท,False
1718025223755,446.2783,choice-chat-01-story3-4-1,11.33984,ยอม,False
1718025330730,543.1273,choice-chat-01-story3-6-1-1,21.46545,ไม่ทำ,False
1718025674411,611.1097,choice-chat-01-story3-8-1-1,4.69165,pat1,False
1718025730411,0,choice-day5-1-1,671.74,กลับแชท,False
1718025787846,726.2045,choice-chat-02-story3-10-1-1,3.033813,ไม่โอน,False
1718025804100,732.2393,choice-chat-02-story3-11-1-1-2,13.25232,เยอะไปอ่ะ เราเองก็ ลำบาก,False
1718025829641,762.8209,choice-chat-02-story3-12-1-1-2,8.213684,เปิดแชททั้งหมด,False
1718026001010,771.0346,choice-chat-03,171.2863,เปิดแชทchat-03,False
1718026044187,955.7935,choice-chat-03-story3-13-1-1-2,29.7016,เราเปลี่ยนมาทำบุญใน กรุงเทพดีไหม,False
1718026120879,1039.562,choice-chat-03-story3-14-1-1-1,22.62512,บริจาคค่า รักษาให้ ถุงทอง,False
1718026152546,1086.03,choice-chat-03-story3-15-1-1-1-3,7.823975,1000,False
1718026153820,1093.854,choice-3Bank1-1000-1-1-1-3,1.275513,เปิดธนาคาร,False
1718026161547,1098.137,choice-3Bank1-1000-1-1-1-3,4.647217,กลับแชท,False
1718026401720,0,choice-day5-1-1,1328.487,กลับแชท,False
1718026458346,1382.907,choice-chat-02-story3-10-1-1,2.288818,ไม่โอน,False
1718026465585,1388.209,choice-chat-02-story3-11-1-1-2,4.225586,เยอะไปอ่ะ เราเองก็ ลำบาก,False
1718026488293,1409.767,choice-chat-02-story3-12-1-1-2,5.379272,เปิดแชททั้งหมด,False
1718026491594,1415.146,choice-chat-03,3.301147,เปิดแชทchat-03,False
1718026507519,1432.045,choice-chat-03-story3-13-1-1-2,2.324585,เราเปลี่ยนมาทำบุญใน กรุงเทพดีไหม,False
1718026565451,1488.485,choice-chat-03-story3-14-1-1-1,3.816528,โครงการเพื่อ โรงพยาบาล สัตว์ จ.นครพนม ,False
1718026595560,1516.199,choice-chat-03-story3-15-1-1-1-2,6.211426,1000,False
1718026596886,1522.41,choice-3Bank1-1000-1-1-1-2,1.328735,เปิดธนาคาร,False
1718026615708,1526.756,choice-3Bank1-1000-1-1-1-2,15.70276,กลับแชท,False
