Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1718012380204,47.79276,choice-chat-01-story3-1,4.021675,วัดพระธาตุ ดอยสุเทพราชวรวิหาร จ.เชียงใหม,False
1718012502395,109.9553,choice-chat-01,15.63009,go to ID : 3Page-FG,False
1718012614652,130.5883,choice-page1,107.293,ออกจากเว็บ,False
1718012726129,310.6156,choice-3Page-FG2,37.35614,เลือก Choice No:1,False
1718012732029,310.6156,choice-story3-4-1,43.33795,กลับแชท,False
1718012762078,378.9371,choice-chat-01-story3-4-1,5.084747,ยอม,False
1718013182703,466.371,choice-chat-01-story3-6-1-1,338.2757,ไม่ทำ,False
1718013231738,848.0311,choice-chat-01-story3-8-1-1,5.286743,pat1,False
1718013294204,0,choice-day5-1-1,915.7482,กลับแชท,False
1718013354520,969.5378,choice-chat-02-story3-10-1-1,6.562256,ไม่โอน,False
1718013357037,976.1001,choice-chat-02-story3-11-1-1-2,2.51825,ไม่สะดวก,False
1718013375652,992.8947,choice-chat-02-story3-12-1-1-2,4.340698,เปิดแชททั้งหมด,False
1718013379298,997.2354,choice-chat-03,3.645508,เปิดแชทchat-03,False
1718013425881,1014.214,choice-chat-03-story3-13-1-1-2,33.24915,เราเปลี่ยนมาทำบุญใน กรุงเทพดีไหม,False
1718013494415,1098.25,choice-chat-03-story3-14-1-1-1,17.74658,โครงการเพื่อ โรงพยาบาล สัตว์ จ.นครพนม ,False
1718013554473,1136.723,choice-chat-03-story3-15-1-1-1-2,3.400879,500,False
1718013555802,1140.124,choice-3Bank1-500-1-1-1-2,1.312134,เปิดธนาคาร,False
1718013565551,1144.441,choice-3Bank1-500-1-1-1-2,6.70874,กลับแชท,False
