Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1718632200112,55.13747,choice-chat-01-story3-1,7.605721,วัดพระธาตุ ดอยสุเทพราชวรวิหาร จ.เชียงใหม,False
1718632268892,124.2563,choice-chat-01,7.25531,go to ID : 3Page-FG,False
1718632278380,136.5134,choice-page1,4.486847,ออกจากเว็บ,False
1718632409635,175.8271,choice-story3-4-1,90.34499,กลับแชท,False
1718632409636,175.8271,choice-3Page-FG2,90.34499,ไม่ตกลง,True
1718632463432,291.6464,choice-chat-01-story3-4-1,28.35773,ยอม,False
1718632556800,407.0371,choice-chat-01-story3-6-1-1,6.340546,ไม่ทำ,True
1718632663588,460.6278,choice-chat-01-story3-8-1-1,2.505951,pat1,False
1718632720239,0,choice-day5-1-1,519.7304,กลับแชท,False
1718632780084,573.6835,choice-chat-02-story3-10-1-1,5.947937,โอน,True
1718632786264,579.6625,choice-3Bank1-3000-1-1-1,6.150635,เปิดธนาคาร,False
1718632867855,588.8168,choice-3Bank1-3000-1-1-1,78.24048,กลับแชท,False
1718632869299,667.0573,choice-chat-02-story3-11-1-1-1+1,1.720947,prawnthai2,False
1718632942123,698.4197,choice-chat-02-story3-12-1-1-1,2.253723,เปิดแชททั้งหมด,False
1718632943058,700.6735,choice-chat-03,0.9354248,เปิดแชทchat-03,False
1718632968393,714.9999,choice-chat-03-story3-13-1-1-1,11.94073,เรายกเลิกทำบุญดีไหม,False
1718633036904,781.1418,choice-chat-03-story3-14-1-1-1,14.31134,บริจาคค่า รักษาให้ ถุงทอง,True
1718633099899,819.2929,choice-chat-03-story3-15-1-1-1-3,39.15503,100,False
1718633100996,858.482,choice-3Bank1-100-1-1-1-3,1.064758,เปิดธนาคาร,False
1718633113829,862.5486,choice-3Bank1-100-1-1-1-3,9.757202,กลับแชท,False
